,def.spatialReference.title,"",0,"",0
,def.spatialReference.wkid.title,"",0,"",0
,def.spatialReference.vcsWkid.title,"",0,"",0
,def.spatialReference.latestWkid.title,"",0,"",0
,def.spatialReference.latestVcsWkid.title,"",0,"",0
,def.spatialReference.wkt.title,"",0,"",0
,def.spatialReferenceNode.title,"",0,"",0
,def.spatialReferenceNode.wkid.title,"",0,"",0
,def.spatialReferenceNode.vcsWkid.title,"",0,"",0
,def.spatialReferenceNode.latestWkid.title,"",0,"",0
,def.spatialReferenceNode.latestVcsWkid.title,"",0,"",0
,def.spatialReferenceNode.wkt.title,"",0,"",0
,def.extent.title,Extent,1,Étendue,1
,def.extent.xmin.title,"X min",1,"X min",1
,def.extent.ymin.title,"Y min",1,"Y min",1
,def.extent.xmax.title,"X max",1,"X max",1
,def.extent.ymax.title,"Y max",1,"Y max",1
,def.extentNode.title,"Extent",1,"Étendue",1
,def.extentNode.xmin.title,"X min",1,"X min",1
,def.extentNode.ymin.title,"Y min",1,"Y min",1
,def.extentNode.xmax.title,"X max",1,"X max",1
,def.extentNode.ymax.title,"Y max",1,"Y max",1
,def.extentWithReferenceNode.title,"Extent",1,"Étendue",1
,def.extentWithReferenceNode.xmin.title,"X min",1,"X min",1
,def.extentWithReferenceNode.ymin.title,"Y min",1,"Y min",1
,def.extentWithReferenceNode.xmax.title,"X max",1,"X max",1
,def.extentWithReferenceNode.ymax.title,"Y max",1,"Y max",1
,def.extentWithReferenceNode.spatialReference.title,"",0,"",0
,def.extentSetNode.title,"",0,"",0
,def.extentSetNode.id.title,"",0,"",0
,def.extentSetNode.spatialReference.title,"",0,"",0
,def.extentSetNode.default.title,"",0,"",0
,def.extentSetNode.full.title,"",0,"",0
,def.extentSetNode.maximum.title,"",0,"",0
,def.symbolNode.title,"",0,"",0
,def.symbolNode.label.title,"",0,"",0
,def.symbolNode.icon.title,"",0,"",0
,def.lodSetNode.title,"",0,"",0
,def.lodSetNode.id.title,"",0,"",0
,def.lodSetNode.lods.title,"",0,"",0
,def.tileSchemaNode.title,"",0,"",0
,def.tileSchemaNode.id.title,"",0,"",0
,def.tileSchemaNode.name.title,"",0,"",0
,def.tileSchemaNode.extentSetId.title,"",0,"",0
,def.tileSchemaNode.lodSetId.title,"",0,"",0
,def.tileSchemaNode.overviewUrl.title,"",0,"",0
,def.exportComponent.title,"",0,"",0
,def.exportComponent.isSelected.title,"",0,"",0
,def.exportComponent.isSelectable.title,"",0,"",0
,def.exportComponent.value.title,"",0,"",0
,def.legendExportComponent.title,"",0,"",0
,def.legendExportComponent.isSelected.title,"",0,"",0
,def.legendExportComponent.isSelectable.title,"",0,"",0
,def.legendExportComponent.value.title,"",0,"",0
,def.legendExportComponent.showInfoSymbology.title,"",0,"",0
,def.legendExportComponent.showControlledSymbology.title,"",0,"",0
,def.attributionNode.title,"",0,"",0
,def.attributionNode.text.title,"",0,"",0
,def.attributionNode.text.enabled.title,"",0,"",0
,def.attributionNode.text.value.title,"",0,"",0
,def.attributionNode.logo.title,"",0,"",0
,def.attributionNode.logo.enabled.title,"",0,"",0
,def.attributionNode.logo.value.title,"",0,"",0
,def.attributionNode.logo.link.title,"",0,"",0
,def.legendGroupControls.title,"",0,"",0
,def.legendEntryControls.title,"",0,"",0
,def.initialLayerSettings.title,"",0,"",0
,def.initialLayerSettings.opacity.title,"",0,"",0
,def.initialLayerSettings.visibility.title,"",0,"",0
,def.initialLayerSettings.boundingBox.title,"",0,"",0
,def.initialLayerSettings.query.title,"",0,"",0
,def.initialLayerSettings.snapshot.title,"",0,"",0
,def.initialLayerSettings.hovertips.title,"",0,"",0
,def.wmsLayerEntryNode.title,"",0,"",0
,def.wmsLayerEntryNode.id.title,"",0,"",0
,def.wmsLayerEntryNode.name.title,"",0,"",0
,def.wmsLayerEntryNode.allStyles.title,"",0,"",0
,def.wmsLayerEntryNode.currentStyle.title,"",0,"",0
,def.wmsLayerEntryNode.controls.title,"",0,"",0
,def.wmsLayerEntryNode.state.title,"",0,"",0
,def.dynamicLayerEntryNode.title,"",0,"",0
,def.dynamicLayerEntryNode.index.title,"",0,"",0
